City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,13.15,79,10,6.73,SH,1730342357
1,uturoa,-16.7333,-151.4333,25.42,71,70,7.27,PF,1730342358
2,afaahiti,-17.75,-149.2833,23.04,70,49,7.29,PF,1730342359
3,west bay,19.3667,-81.4167,28.04,78,40,3.6,KY,1730342360
4,tralee,52.2704,-9.7026,12.17,89,96,1.05,IE,1730342361
5,hithadhoo,-0.6,73.0833,27.35,64,83,1.37,MV,1730342362
6,bodaybo,57.8506,114.1933,0.34,90,100,1.06,RU,1730342363
7,nichinan,31.6,131.3667,21.37,74,100,4.68,JP,1730342365
8,grytviken,-54.2811,-36.5092,0.27,84,34,4.41,GS,1730342366
9,bethel,41.3712,-73.414,17.59,79,0,0.45,US,1730342367
10,ribeira grande,38.5167,-28.7,20.99,87,10,6.71,PT,1730342368
11,avarua,-21.2078,-159.775,25.03,69,68,7.72,CK,1730342369
12,papatowai,-46.5619,169.4708,12.67,73,100,4.67,NZ,1730342370
13,ushuaia,-54.8,-68.3,6.81,61,75,3.09,AR,1730342257
14,adamstown,-25.066,-130.1015,21.08,75,97,11.75,PN,1730342372
15,thinadhoo,0.5333,72.9333,27.37,66,96,1.62,MV,1730342373
16,nadi,-17.8,177.4167,30.0,62,40,5.66,FJ,1730342375
17,iqaluit,63.7506,-68.5145,-0.15,86,100,9.26,CA,1730342329
18,bredasdorp,-34.5322,20.0403,13.24,87,2,1.67,ZA,1730342377
19,dudinka,69.4058,86.1778,-10.65,95,100,5.29,RU,1730342378
20,waitangi,-43.9535,-176.5597,13.79,80,38,3.58,NZ,1730342379
21,albany,42.6001,-73.9662,18.23,78,100,0.89,US,1730342172
22,prince albert,53.2001,-105.7677,-1.03,86,75,1.54,CA,1730342381
23,toba tek singh,30.9743,72.4827,27.03,35,6,1.78,PK,1730342382
24,lebu,-37.6167,-73.65,10.82,97,44,4.57,CL,1730342383
25,leh,34.1667,77.5833,0.14,57,7,1.01,IN,1730342384
26,port elizabeth,-33.918,25.5701,15.73,88,75,1.03,ZA,1730342259
27,barnala,30.3833,75.55,26.45,33,0,2.87,IN,1730342387
28,qaqortoq,60.7167,-46.0333,-11.83,60,0,3.76,GL,1730342388
29,kodiak,57.79,-152.4072,5.73,65,20,0.0,US,1730342386
30,bodo,67.28,14.405,3.02,67,75,9.26,NO,1730342390
31,blackmans bay,-43.0167,147.3167,12.07,79,78,0.45,AU,1730342391
32,port-aux-francais,-49.35,70.2167,4.29,83,19,11.07,TF,1730342392
33,santa cruz,-17.8,-63.1667,26.7,89,20,1.54,BO,1730342160
34,vilyuysk,63.7553,121.6247,-18.7,92,89,0.38,RU,1730342394
35,saint-pierre,-21.3393,55.4781,21.82,60,0,2.06,RE,1730342395
36,taltal,-25.4,-70.4833,16.23,86,20,1.14,CL,1730342396
37,haiku-pauwela,20.9219,-156.3051,27.01,77,40,11.62,US,1730342397
38,lompoc,34.6391,-120.4579,13.16,87,20,1.54,US,1730342399
39,jamestown,42.097,-79.2353,18.8,59,0,4.12,US,1730342349
40,olonkinbyen,70.9221,-8.7187,-5.38,49,100,7.88,SJ,1730342401
41,west island,-12.1568,96.8225,26.99,78,75,5.14,CC,1730342402
42,guapo,-16.8306,-49.5319,19.87,95,37,2.41,BR,1730342217
43,ambodifotatra,-16.9833,49.85,24.64,77,18,3.23,MG,1730342404
44,saphane,39.0273,29.2222,4.26,88,4,3.54,TR,1730342405
45,hamilton,39.1834,-84.5333,20.23,70,0,2.57,US,1730341834
46,mana,5.6592,-53.7767,26.17,85,7,2.75,GF,1730342408
47,invercargill,-46.4,168.35,11.68,88,100,4.02,NZ,1730342282
48,isenbuttel,52.4333,10.5833,10.58,99,100,2.19,DE,1730342410
49,puerto natales,-51.7236,-72.4875,8.18,96,100,1.75,CL,1730342412
50,colonia,50.9333,6.95,12.71,89,100,1.54,DE,1730342376
51,ilulissat,69.2167,-51.1,-7.99,35,75,9.26,GL,1730342414
52,yellowknife,62.456,-114.3525,-11.71,92,75,1.03,CA,1730342210
53,preobrazheniye,42.9019,133.9064,13.02,54,100,3.47,RU,1730342416
54,chiredzi,-21.05,31.6667,20.64,82,99,5.15,ZW,1730342417
55,margaret river,-33.95,115.0667,21.58,55,100,2.24,AU,1730342419
56,chibougamau,49.9168,-74.3659,7.79,100,100,4.63,CA,1730342355
57,bebeji,11.6673,8.2622,19.82,24,66,2.53,NG,1730342421
58,pinos,22.3,-101.5667,12.0,28,0,1.64,MX,1730342422
59,puerto armuelles,8.2833,-82.8667,25.61,88,100,1.79,PA,1730342423
60,isafjordur,66.0755,-23.124,-3.31,88,95,1.12,IS,1730342424
61,alavus,62.5833,23.6167,0.99,89,21,3.21,FI,1730342425
62,talnakh,69.4865,88.3972,-13.23,94,100,3.59,RU,1730342426
63,bati,11.1833,40.0167,18.01,69,100,2.25,ET,1730342427
64,olindina,-11.3667,-38.3333,20.78,92,2,2.33,BR,1730342428
65,anadyr,64.75,177.4833,-0.72,74,40,14.0,RU,1730342429
66,manado,1.487,124.8455,33.43,49,20,2.06,ID,1730342430
67,metlili chaamba,32.2667,3.6333,18.52,68,0,1.54,DZ,1730342432
68,whitehorse,60.7161,-135.0538,-4.57,92,75,1.54,CA,1730342433
69,arraial do cabo,-22.9661,-42.0278,22.23,84,7,3.32,BR,1730342434
70,santa isabel,-23.3156,-46.2214,18.61,90,58,2.01,BR,1730342435
71,happy valley-goose bay,53.3168,-60.3315,3.17,93,100,6.69,CA,1730342436
72,chonchi,-42.6128,-73.8092,10.07,98,22,0.66,CL,1730342437
73,monaragala,6.8714,81.3487,28.18,71,96,0.86,LK,1730342438
74,fort bragg,35.139,-79.006,19.91,85,0,0.0,US,1730342439
75,anna regina,7.2644,-58.5077,27.01,76,16,3.71,GY,1730342440
76,carnarvon,-24.8667,113.6333,30.51,44,0,2.12,AU,1730342441
77,isangel,-19.55,169.2667,23.99,71,100,5.24,VU,1730342442
78,mugia,43.1041,-9.2179,13.28,78,14,4.41,ES,1730342444
79,princeville,45.7668,-61.2985,6.4,90,100,4.63,CA,1730342446
80,laharpur,27.7167,80.9,26.24,53,0,1.49,IN,1730342447
81,isiro,2.7739,27.616,19.18,99,100,1.02,CD,1730342448
82,komsomolets,53.7453,62.0708,1.72,80,100,2.92,KZ,1730342449
83,outjo,-20.1167,16.15,15.59,37,0,2.17,NA,1730342450
84,olinda,-8.0089,-34.8553,25.85,73,40,4.12,BR,1730342451
85,la ronge,55.1001,-105.2842,-1.86,69,75,5.66,CA,1730342452
86,luwuk,-0.9516,122.7875,30.86,55,86,2.63,ID,1730342454
87,hawaiian paradise park,19.5933,-154.9731,24.93,94,75,2.57,US,1730342455
88,new norfolk,-42.7826,147.0587,12.73,34,59,3.57,AU,1730342456
89,collie,-33.3667,116.15,25.58,33,84,2.41,AU,1730342458
90,punta arenas,-53.15,-70.9167,9.06,71,0,2.06,CL,1730342066
91,bilibino,68.0546,166.4372,-13.1,91,100,3.35,RU,1730342460
92,saipan,15.1355,145.701,32.39,62,20,8.23,MP,1730342461
93,badger,64.8,-147.5333,-13.07,86,40,0.0,US,1730342462
94,puerto ayora,-0.7393,-90.3518,20.86,96,47,2.45,EC,1730342463
95,thompson,55.7435,-97.8558,-5.91,63,0,2.57,CA,1730342465
96,bamboo flat,11.7,92.7167,29.05,79,20,1.03,IN,1730342466
97,priargunsk,50.3691,119.1012,5.06,66,100,0.87,RU,1730342467
98,guerrero negro,27.9769,-114.0611,17.22,74,0,4.83,MX,1730342468
99,encantado,-29.2361,-51.8697,18.9,93,2,0.99,BR,1730342469
100,port saint john's,-31.6229,29.5448,15.54,79,6,3.57,ZA,1730342470
101,arteche,12.2645,125.4048,30.6,64,100,3.87,PH,1730342471
102,svobodnyy,51.4,128.1333,2.43,56,100,2.48,RU,1730342472
103,bodden town,19.2833,-81.25,28.0,88,40,3.6,KY,1730342473
104,port lincoln,-34.7333,135.8667,17.36,65,47,5.04,AU,1730342474
105,bereznik,62.8551,42.7072,1.77,97,100,3.68,RU,1730342475
106,newman,37.3138,-121.0208,14.47,39,7,3.09,US,1730342476
107,tuineje,28.3237,-14.0472,15.88,69,0,1.72,ES,1730342478
108,mar del plata,-38.0023,-57.5575,21.08,68,99,4.92,AR,1730342291
109,cockburn town,21.4612,-71.1419,26.28,76,58,9.23,TC,1730342480
110,hermanus,-34.4187,19.2345,14.33,81,2,4.4,ZA,1730342481
111,prado,-17.3411,-39.2208,22.04,94,100,1.93,BR,1730342482
112,pisco,-13.7,-76.2167,17.03,88,0,3.09,PE,1730342484
113,tamandare,-8.7597,-35.1047,24.25,81,18,3.55,BR,1730342486
114,ulsteinvik,62.3432,5.8487,8.2,87,100,4.02,NO,1730342487
115,changtu,42.7788,124.0955,15.04,53,67,6.97,CN,1730342488
116,port mathurin,-19.6833,63.4167,23.01,66,33,7.03,MU,1730342489
117,camarinas,43.1311,-9.1817,13.29,79,19,4.41,ES,1730342490
118,gulu,2.7746,32.299,18.37,91,30,1.84,UG,1730342491
